Group,Genus,Species,Paper,Authors,Journal,Year,Link,Sex,Experiment_location,Stimuli_type,Frequency,Amplitude,Stimulus_duration,Scoring_method,Trap_brand,Control_used,Response,Number_of_replicate,No_of_indiv_per_replicate,Group_Individual,Rearing_temperature,Experimental_time,Circadian_LD_entrainment_cycle,Age,Mating_status,Size_Larval_Density
Ae. aegypti,Aedes,aegypti,"A low-cost, battery-powered acoustic trap for surveilling male Aedes aegypti during rear-and-release operations",Johnson B.J.; Rohde B.B.; Zeak N.; Staunton K.M.; Prachar T.; Ritchie S.A.,PLoS ONE,2018,https://doi.org/10.1371/journal.pone.0201709,Male,Field,Pure tone,484,,playback at two minute on/off intervals for 16 hrs per day (12 hr daylight + 4 hr twilight),Attraction,sound-baited GAT trap + hay infusion,"control 1) non-sound-baited GAT, control 2) non-sound-baited BGS trap (+ no CO2/ BG-Lure)",3.67 (±1.25 males/week),6,-,,,16 hrs: 12 hrs daylight + 4 hrs twilight,,,,
Ae. aegypti,Aedes,aegypti,A Low-Powered and Highly Selective Trap for Male Aedes (Diptera: Culicidae) Surveillance: The Male Aedes Sound Trap,Staunton K.M.; Crawford J.E.; Liu J.; Townsend M.; Han Y.; Desnoyer M.; Howell P.; Xiang W.; Burkot T.R.; Snoad N.; Ritchie S.A.,Journal of Medical Entomology,2020,https://doi.org/10.1093/jme/tjaa151,Male,Field,Pure tone,500,60 dB (trap entrance),30s on/off continuously,Attraction,"MAST sticky trap, MAST spray trap, SGAT",BGS trap without sound,"mean weekly catch rate (no. of males): SGAT (2.8 ± 1), MAST Spray (3.1 ± 1.6), MAST Sticky (2 ± 0.8) (mean ± SE)",-,-,,-,"MAST Traps (dawn-dusk only), SGAT & BGS (24 hrs)",,,,
Ae. aegypti,Aedes,aegypti,A new approach to improve acoustic trapping effectiveness for Aedes aegypti (Diptera: Culicidae),Pantoja-Sánchez H.; Vargas J.F.; Ruiz-López F.; Rúa-Uribe G.; Vélez V.; Kline D.L.; Bernal X.E.,Journal of Vector Ecology,2019,https://doi.org/10.1111/jvec.12352,Male,Semi-field,"Frequency sweep, Complex signals","80 pure tones in the range of 450-550 Hz, complex signals (extracted from 240 recordings of male and female mosquitoes flying alone or in pairs)","10 dB (1 m away from speaker), high intensity: 10 dB, low intensity: 2 dB (1 m away from speaker)","Each tone played for 10 s, alternating between two speakers, total duration: 2 hrs, 1 min high intensity, 9 mins low intensity, total duration: 2 hrs, 10 mins of constant intensity",Attraction,sound trap,trap with speaker but no sound played,"69.2 ± 2.1%, 77.7% ± 2.9%, 0.66 ± 0.24%, 1.02 ± 0.51%","7, 8","40, 600",,29 ± 2,1600–1800 hours,,,,
Ae. aegypti,Aedes,aegypti,A Study of Mosquito Behavior. An Experimental Laboratory Study of the Sexual Behavior of Aedes aegypti (Linnaeus),Roth L.M.,The American Midland Naturalist,1948,https://doi.org/10.2307/2421604,Male,Lab,Pure tone,"75, 125, 175, 225, 275, 325, 375, 425, 475, 525, 575, 625, 675, 725, 775, 825","100 Hz: 95.6 dB, 150 Hz: 103.8 dB, 200 Hz: 112.6 dB, 250 Hz: 113.2 dB, 300 Hz: 111 dB, 350 Hz: 109 dB, 400 Hz: 108.3 dB, 450 Hz: 109 dB, 500 Hz: 108.6 dB, 550 Hz: 108.5 dB, 600 Hz: 109.9 dB, 650 Hz: 110.7 dB, 700 Hz: 107.1 dB, 750 Hz: 106.8 dB, 800 Hz: 106.1 dB","each frequency played for 3 times, each time for 3 seconds at 6 seconds interval",Bending,speaker with sound playback,NA,"0, 0, 0, 0, 0, 23, 16.8, 9.4, 23.6, 13.9, 25.4, 7.6, 0, 0, 0, 0",NA,70-300,Individual,NA,NA,NA,1,Virgin,NA
Ae. aegypti,Aedes,aegypti,Designing Aedes (Diptera: Culicidae) Mosquito Traps: The Evolution of the Male Aedes Sound Trap by Iterative Evaluation,Staunton K.M.; Liu J.; Townsend M.; Desnoyer M.; Howell P.; Crawford J.E.; Xiang W.; Snoad N.; Burkot T.R.; Ritchie S.A.,Insects,2021,https://doi.org/10.3390/insects12050388,Male,Semi-field,Pure tone,"450, 500, 550, 600",63 dB (trap entrance),30s on/off continuously (for 30 mins),Attraction,MAST sticky trap,MAST sticky trap without sound,"450 Hz: 0.79 (±0.02) (mean (±S.E.) (N=23), 500 Hz: 0.82 (±0.02) (N=23), 550 Hz: 0.90 (±0.04) (N=4) and 600 Hz: 0.85 (±0.01) (N=4)",-,-,,28 °C,0830-1030,,,,
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,2013,https://doi.org/10.1603/me13023,Male,Field,Pure tone,"440, 465",93 dB (2 cm in front of speaker),1h continuous sound emission,Attraction,"sound-baited, CDC miniature light trap / sound-baited BG-Sentinel trap (without odor lure)",trap with speaker but no sound played,"440 Hz: 1) CDC trap: 1.6 males/hr, 2) BGS trap: 0.2 males/hr; 465 Hz: 0.6 males/hr",5,,,-,between 1645 and 1800 hours,,,,
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,2013,https://doi.org/10.1603/me13023,Male,Semi-field,Pure tone,465,93 dB (2 cm in front of speaker),1h continuous sound emission,Attraction,"sound-baited, CDC miniature light trap",trap with speaker but no sound played,49.7 ± 7%,3,100,,29,between 1530 and 1630 hours,16 L:8 D,,,
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,2013,https://doi.org/10.1603/me13023,Male,Lab,Pure tone,"465, 440, 490, 350, 400, 450, 500, 550","93 dB (2 cm in front of speaker), 57.8 dB","1h continuous sound emission, 10s/tone, 20 mins silence between tones","Attraction, Bending","sound-baited, CDC miniature light trap",trap with speaker but no sound played,10% - 80% ,,"38-60, 200","Group, Individual",29,between 0800 and 1000 hours,16 L:8 D,1.5 - 7,Virgin,NA
Ae. aegypti,Aedes,aegypti,Differences in Male Mating Response and Female Flight Sounds in Aedes aegypti and Ae. albopictus,Duhrkopf R.E.; Hartberg W.K.,Journal of Medical Entomology,1992,https://doi.org/10.1093/jmedent/29.5.796,Male,Lab,Pure tone,345 - 645 (10Hz steps),30 dB,"3s/tone, each tone played thrice with 3s intervals",Bending,-,-,"0 (min), 24 (max)",-,200,Group,26 ± 0.5,-,-,2,Virgin,NA
Ae. aegypti,Aedes,aegypti,Effect of BG-Lures on the Male Aedes (Diptera: Culicidae) Sound Trap Capture Rates,Staunton K.M.; Goi J.; Townsend M.; Ritchie S.A.; Crawford J.E.; Snoad N.; Karl S.; Burkot T.R.,Journal of Medical Entomology,2021,https://doi.org/10.1093/jme/tjab121,Male,Field,Pure tone,550 Hz,60 dB at trap entrance,"30 s on-off throughout the day, for three months",Attraction,"MAST sticky trap, MAST spray trap",-,328 males,24,800 (M:F = 50:50),,,,,,,
