Group,Genus,Species,Paper,Authors,Journal,Peer_reviewed,Year,Link,Sex,Experiment_location,Stimuli_type,Phono_stim_frequency,Amplitude,Stimulus_duration,Scoring_method,Trap_brand,Control_used,Response,Response_percentage_proportion,Number_of_replicate,No_of_indiv_per_replicate,Type,Group_Individual,Rearing_temperature,Experimental_time,Circadian_LD_entrainment_cycle,Age,Mating_status,Size_Larval_Density,frequency_type_count,median_response_percentage_proportion,Normalised.frequency.response,Experimental_temperature,Temp_data
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,Y,2013,https://doi.org/10.1603/me13023,Male,Lab,Pure_tone,465,93 dB (2 cm in front of speaker),1h continuous sound emission,Attraction,"sound-baited, CDC miniature light trap",trap with speaker but no sound played,76.2 (n=3) (mean),76.2,3,38-60,Lab,Group,29,between 0800 and 1000 hours,16 L:8 D,7,Virgin,,8,55,0.733333333,28,Y
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,Y,2013,https://doi.org/10.1603/me13023,Male,Lab,Pure_tone,440,57.8 dB (2 cm in front of the earbud),"10s/tone, 20 mins silence between tones",Bending,-,-,25% (1-2 days old) (mean),25,-,38-60,Lab,Individual,29,between 0800 and 1000 hours,16 L:8 D,1.5,Virgin,,8,40,0.533333333,0,N
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,Y,2013,https://doi.org/10.1603/me13023,Male,Lab,Pure_tone,490,57.8 dB (2 cm in front of the earbud),"10s/tone, 20 mins silence between tones",Bending,-,-,25% (1-2 days old) (mean),25,-,38-60,Lab,Individual,29,between 0800 and 1000 hours,16 L:8 D,1.5,Virgin,,8,60,0.8,0,N
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,Y,2013,https://doi.org/10.1603/me13023,Male,Lab,Pure_tone,350,57.8 dB (2 cm in front of the earbud),"10s/tone, 20 mins silence between tones",Bending,-,-,10% (n=200) (mean) (Low density),10,-,200,Lab,Individual,29,between 0800 and 1000 hours,16 L:8 D,7,Virgin,Low,8,7.5,0.1,0,N
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,Y,2013,https://doi.org/10.1603/me13023,Male,Lab,Pure_tone,400,57.8 dB (2 cm in front of the earbud),"10s/tone, 20 mins silence between tones",Bending,-,-,60% (n=200) (mean) (Low density),60,-,200,Lab,Individual,29,between 0800 and 1000 hours,16 L:8 D,7,Virgin,Low,8,52.5,0.7,0,N
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,Y,2013,https://doi.org/10.1603/me13023,Male,Lab,Pure_tone,450,57.8 dB (2 cm in front of the earbud),"10s/tone, 20 mins silence between tones",Bending,-,-,70% (n=200) (mean) (Low density),70,-,200,Lab,Individual,29,between 0800 and 1000 hours,16 L:8 D,7,Virgin,Low,8,75,1,0,N
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,Y,2013,https://doi.org/10.1603/me13023,Male,Lab,Pure_tone,500,57.8 dB (2 cm in front of the earbud),"10s/tone, 20 mins silence between tones",Bending,-,-,80% (n=200) (mean) (Low density),80,-,200,Lab,Individual,29,between 0800 and 1000 hours,16 L:8 D,7,Virgin,Low,8,65,0.866666667,0,N
Ae. aegypti,Aedes,aegypti,Determinants of male Aedes aegypti and Aedes polynesiensis (Diptera: Culicidae) response to sound: efficacy and considerations for use of sound traps in the field.,Stone C.M.; Tuten H.C.; S L Dobson S.L.,Journal of Medical Entomology,Y,2013,https://doi.org/10.1603/me13023,Male,Lab,Pure_tone,550,57.8 dB (2 cm in front of the earbud),"10s/tone, 20 mins silence between tones",Bending,-,-,60% (n=200) (mean) (Low density),60,-,200,Lab,Individual,29,between 0800 and 1000 hours,16 L:8 D,7,Virgin,Low,8,70,0.933333333,0,N
Ae. aegypti,Aedes,aegypti,Flight Responses to Various Sounds by Adult Males of Aedes aegypti (L.) (Diptera: Culicidae),Wishart G.; Riordan D.F.,The Canadian Entomologist,Y,1959,https://doi.org/10.4039/Ent91181-3,Male,Lab,Pure_tone,300,75 dB,5 seconds,Attraction,vacuum,-,"300 Hz: 7, 350: 16.8, 400: 6.7, 450: 3.0, 500: 1.5, 550: 0.9, 600: 1.5, 650: 0.4, 700: 0, 750: 0.4, 800: 0.4",7,2,60,Lab,Group,23-24,-,-,1,Virgin,,11,3.3,0.078014184,25,Y
Ae. aegypti,Aedes,aegypti,Flight Responses to Various Sounds by Adult Males of Aedes aegypti (L.) (Diptera: Culicidae),Wishart G.; Riordan D.F.,The Canadian Entomologist,Y,1959,https://doi.org/10.4039/Ent91181-3,Male,Lab,Pure_tone,350,75 dB,5 seconds,Attraction,vacuum,-,"300 Hz: 7, 350: 16.8, 400: 6.7, 450: 3.0, 500: 1.5, 550: 0.9, 600: 1.5, 650: 0.4, 700: 0, 750: 0.4, 800: 0.4",16.8,2,60,Lab,Group,23-24,-,-,1,Virgin,,11,24.5,0.579196217,25,Y
