Group,Genus,Species,Paper,Authors,Journal,Year,Link,Sex,Experiment_location,Wing Beat Frequency (Hz),WBF,Tethered_Free,Circadian Time,Circadian time when WBF measured,WBF measuring method
Ae. aegypti,Aedes,aegypti,Mosquito hearing: sound-induced antennal vibrations in male and female Aedes aegypti,Göpfert M.C.; Briegel H.; Robert D.,Journal of Experimental Biology,1999,https://doi.org/10.1242/jeb.202.20.2727,Male,Lab,668,"668±10 (SD) Hz, N=6",Tethered,,,
Ae. aegypti,Aedes,aegypti,Mosquito hearing: sound-induced antennal vibrations in male and female Aedes aegypti,Göpfert M.C.; Briegel H.; Robert D.,Journal of Experimental Biology,1999,https://doi.org/10.1242/jeb.202.20.2727,Female,Lab,459,"(459±11 Hz, (SD) N=6; P<0.01",Tethered,,,
Ae. aegypti,Aedes,aegypti,Harmonic convergence in the love songs of the dengue vector mosquitoes,Cator L.C.; Arthur B.J.; Harrington L.C.; Hoy R.R.,Science,2008,https://doi.org/10.1126/science.1166541,Male,Lab,636.7,636.7 ± 15.1 Hz  (n=14) sem,Tethered,,,
Ae. aegypti,Aedes,aegypti,Harmonic convergence in the love songs of the dengue vector mosquitoes,Cator L.C.; Arthur B.J.; Harrington L.C.; Hoy R.R.,Science,2008,https://doi.org/10.1126/science.1166541,Female,Lab,430.6,430.6 ± 10.8 Hz  (n=14) sem,Tethered,,,
Ae. aegypti,Aedes,aegypti,"Mosquito (Aedes aegypti) flight tones: Frequency, harmonicity, spherical spreading, and phase relationships",Arthur B.J.; Emr K.S.; Wyttenbach R.A.; Hoyd R.R.,Journal of Acoustical Society of America,2014,https://doi.org/10.1121/1.4861233,Male,Lab,711,711 ± 78 (SD) (n=10),Tethered,14 L: 10 D,,microphone
Ae. aegypti,Aedes,aegypti,"Mosquito (Aedes aegypti) flight tones: Frequency, harmonicity, spherical spreading, and phase relationships",Arthur B.J.; Emr K.S.; Wyttenbach R.A.; Hoyd R.R.,Journal of Acoustical Society of America,2014,https://doi.org/10.1121/1.4861233,Female,Lab,511,511 ± 46 (SD) (n=11),Tethered,14 L: 10 D,,microphone
Ae. aegypti,Aedes,aegypti,Measurement of flight tone differences between female Aedes aegypti and A. albopictus (Diptera: Culicidae),Brogdon W.G.,Journal of Medical Entomology,1994,https://doi.org/10.1093/jmedent/31.5.700,Male,Lab,715,"715 (N=50, sampling rate = 5000 Hz)",Free,,,
Ae. aegypti,Aedes,aegypti,Measurement of flight tone differences between female Aedes aegypti and A. albopictus (Diptera: Culicidae),Brogdon W.G.,Journal of Medical Entomology,1994,https://doi.org/10.1093/jmedent/31.5.700,Female,Lab,461,"461 (N=50, sampling rate=1000 Hz), 485 (N=50, sampling rate = 5000 Hz)",Free,,,
Ae. aegypti,Aedes,aegypti,Behavioral Observations and Sound Recordings of Free-Flight Mating Swarms of Ae. aegypti (Diptera: Culicidae) in Thailand,Cator L.J.; Arthur B.J.; Ponlawat A.; Harrington L.C.,Journal of Medical Entomology,2011,https://doi.org/10.1603/me11019,Male,Field,982,"Male solo: 982 ± 1, Male paired: 989.3 ± 7.4 (Se)",Free,,,
Ae. aegypti,Aedes,aegypti,Behavioral Observations and Sound Recordings of Free-Flight Mating Swarms of Ae. aegypti (Diptera: Culicidae) in Thailand,Cator L.J.; Arthur B.J.; Ponlawat A.; Harrington L.C.,Journal of Medical Entomology,2011,https://doi.org/10.1603/me11019,Female,Field,664.3,"Female solo: 664.3 ± 4.6, Female paired: 609.1 ± 48.5 (se)",Free,,,
Ae. aegypti,Aedes,aegypti,A Novel Methodology For Recording Wing Beat Frequencies of Untethered Male and Female Aedes aegypti,Staunton K.M.; Usher L.; Prachar T.; Ritchie S.A.; Snoad N.; Johnson B.J.,Journal of the American Mosquito Control Association,2019,https://doi.org/10.2987/18-6799.1,Male,Lab,740,740 Hz (±8.3) (n=30) se,Free,12 L: 12 D,,Ultrasonic sensor
Ae. aegypti,Aedes,aegypti,A Novel Methodology For Recording Wing Beat Frequencies of Untethered Male and Female Aedes aegypti,Staunton K.M.; Usher L.; Prachar T.; Ritchie S.A.; Snoad N.; Johnson B.J.,Journal of the American Mosquito Control Association,2019,https://doi.org/10.2987/18-6799.1,Female,Lab,515,Mean WBFs (±SE): 515 Hz (±6.4) (n=30),Free,12 L: 12 D,,Ultrasonic sensor
Ae. aegypti,Aedes,aegypti,A Novel Methodology For Recording Wing Beat Frequencies of Untethered Male and Female Aedes aegypti,Staunton K.M.; Usher L.; Prachar T.; Ritchie S.A.; Snoad N.; Johnson B.J.,Journal of the American Mosquito Control Association,2019,https://doi.org/10.2987/18-6799.1,Male,Lab,786,786 Hz (±9) (n=30) se,Free,12 L: 12 D,,Ultrasonic sensor
Ae. aegypti,Aedes,aegypti,A Novel Methodology For Recording Wing Beat Frequencies of Untethered Male and Female Aedes aegypti,Staunton K.M.; Usher L.; Prachar T.; Ritchie S.A.; Snoad N.; Johnson B.J.,Journal of the American Mosquito Control Association,2019,https://doi.org/10.2987/18-6799.1,Female,Lab,562,562 Hz (±4.7) (n=30) se,Free,12 L: 12 D,,Ultrasonic sensor
Ae. aegypti,Aedes,aegypti,A Novel Methodology For Recording Wing Beat Frequencies of Untethered Male and Female Aedes aegypti,Staunton K.M.; Usher L.; Prachar T.; Ritchie S.A.; Snoad N.; Johnson B.J.,Journal of the American Mosquito Control Association,2019,https://doi.org/10.2987/18-6799.1,Male,Lab,878,878 Hz (±6.7) (n=30) se,Free,12 L: 12 D,,Ultrasonic sensor
